語句,区分,理由,根拠となる法令・ルール,代替表現,登録日
絶対に稼げる,NG,成果の保証は優良誤認,景品表示法,僕の場合は〜でした,2026-09-04
必ず,NG,断定・保証,景品表示法,多くの場合／僕は,2026-09-04
誰でも簡単に,NG,再現性の誇大表示,景品表示法,合う人には合う／向き不向きはある,2026-09-04
No.1 / 日本一,NG,客観的根拠がなければ優良誤認,景品表示法,使わない,2026-09-04
今だけ / 残り◯名,要注意,期間・条件が虚偽だと有利誤認,景品表示法,実際の期間と条件を明記,2026-09-04
不労所得,要注意,実態と乖離しやすい,景品表示法,寝てる間も広告が回る（事実の描写にとどめる）,2026-09-04
月◯万確定,NG,収益の保証,景品表示法,初月2万→4ヶ月目120万（自分の実績のみ）,2026-09-04
（PR明示なし）,NG,ステルスマーケティング,景品表示法（ステマ規制）,#PR を付ける,2026-09-04
自由になれる,要注意,キラキラ感が出てペルソナが離れる,社内ルール（トンマナ）,無の境地でいられる,2026-09-04
致します,表記統一,ひらく,社内ルール,いたします,2026-09-04
下さい,表記統一,ひらく,社内ルール,ください,2026-09-04
出来る,表記統一,ひらく,社内ルール,できる,2026-09-04
