採否,追跡優先度,カテゴリ,アカウント名,@ID,URL,役割（何を学ぶか）,平均いいね,平均表示,総投稿数,最高表示,バズ投稿数,画像あり(%),強み・学べる点,真似しない点,データ出典,調査日
提案中,S,ベンチマーク（運用巧者）,むそうくん/フォロバ100%,musou_aijidouka,https://x.com/musou_aijidouka,交流戦略の教科書。1日20-30引用RTの設計はこの人を最も参考にする,42.2,962,173,12000,29,0,画像なし100%でバズ29件。「リプ欄を制圧した方がいい」というリプ主義。テキストだけで伸ばす型,フォロバ100%を掲げる相互目的の運用には乗らない,X投稿ベンチマーク分析20アカウント,2026-05-14
提案中,S,ベンチマーク（運用巧者）,まねるん,manerun_,https://x.com/manerun_,フック力の最高峰。数字×具体プロンプトの型,126.9,23322,192,700000,23,78,平均いいね126.9はトップクラス。「Geminiにこの指示するだけでOK」型で主婦・会社員に刺す。画像あり78%でも高バズ,規模が違うので投稿頻度は真似ない,X投稿ベンチマーク分析20アカウント,2026-05-14
提案中,S,ベンチマーク（運用巧者）,こんすけ,konsuke_money,https://x.com/konsuke_money,リスト形式の型。共感×実用の組み合わせ,78,144514,90,3870000,6,0,「職場で話してはいけない情報」等リスト形式で返信を大量に集める。平均表示14万,金融・キャリア寄りのテーマはそのまま使えない,X投稿ベンチマーク分析20アカウント,2026-05-14
提案中,S,同ペルソナ,あき@副業で貧乏脱出したパパ,Akraft3594,https://x.com/Akraft3594,パパ×副業でペルソナ最近接。実績報告の見せ方,11.4,2623,74,140000,9,89,「パパ×副業で貧乏脱出」という立ち位置がスナと最も近い。実績スクショの出し方が参考になる,画像あり89%だがバズ数は少ない。画像への依存は真似しない,X投稿ベンチマーク分析20アカウント,2026-05-14
提案中,S,同ペルソナ,うると@パソコンスキルなし50代会社員×AI副業,uruto_ai_01,https://x.com/uruto_ai_01,「本業あり×AI副業」の同型。ロードマップ型ポストの構成,12.9,1055,110,52000,12,17,「才能じゃない。順番。」等、初心者の不安に順序で答える型。スナが既に引用実績あり,煽り気味の断定表現（報酬通知が鳴り止まない等）は使わない,X投稿ベンチマーク分析20アカウント,2026-05-14
提案中,S,同ペルソナ,ゆう｜40代・家族持ちが月20万作る副業設計,yuyu_affi,https://x.com/yuyu_affi,ペルソナ直撃（40代・家族持ち・副業設計）。訴求の言語化,,,,,,,肩書きの時点でスナのペルソナとほぼ同一。競合として最重要,,Xポスト収集リスト,要調査
提案中,A,PPC直系,ゆう｜PPCアフィリエイト,ogihara_you,https://x.com/ogihara_you,商材が直接competing。PPC発信の言い回しと導線,,,,,,,リストの中で唯一の明示的なPPCアフィリエイト発信者。教材の見せ方を必ず確認,,Xポスト収集リスト,要調査
提案中,A,PPC直系,ぽめ｜ぽめ流SNS方程式,ai_lab27,https://x.com/ai_lab27,広告アフィリの実績訴求と無料note導線,,,,,,,「Googleアドアフィは今バブル」等、同じ市場への訴求。無料note→リストの導線が同型,月250万等の数字を前面に出す訴求は景表法の観点で真似しない,Xポスト収集リスト,要調査
提案中,A,PPC直系,ねぷろ,ai_nepro,https://x.com/ai_nepro,40代パパ×AIアフィ。無料配布からの導線設計,,,,,,,「窓際ポンコツ40代パパが月500万」というペルソナ設計がスナと同型。導線が最も参考になる,月500万・売上1700万等の数字押し。無料使い放題型の企画,Xポスト収集リスト,要調査
提案中,A,PPC直系,ねこらぼ,affiliate_will,https://x.com/affiliate_will,広告アフィリの無料配布企画の型,,,,,,,「5日間限定 無料配布企画」のプレゼント設計。フォロー＋RT＋LINE の導線,現金・限定を強調する企画設計はリスクがあるため慎重に,Xポスト収集リスト,要調査
提案中,A,ベンチマーク（運用巧者）,かずま,kazuma_Freelife,https://x.com/kazuma_Freelife,「問題提示→失敗談→励まし」型。返信を集める構成,14.1,229,63,972,15,0,「副業を続けてる人が全員ぶつかる壁」型。規模が近く再現しやすい。バズ投稿15件,,X投稿ベンチマーク分析20アカウント,2026-05-14
提案中,A,ベンチマーク（運用巧者）,かわけん,kawakenka,https://x.com/kawakenka,返信数トップ。交流型CTAの作り方,34.5,1505,31,13000,10,0,平均返信15.4は全体最高。「一緒に交流しましょう」の明確なCTA。反語的疑問形フックが強い,,X投稿ベンチマーク分析20アカウント,2026-05-14
提案中,A,ベンチマーク（運用巧者）,あいる ママ,airu_mama1,https://x.com/airu_mama1,共感フック＋実体験＋数字＋解決策の4段構成,49,3249,151,120000,15,53,「ChatGPT最近これ多くない？」型の共感フック。返信84件を集めた質問形CTA,ママ向けの語り口はそのまま使えない,X投稿ベンチマーク分析20アカウント,2026-05-14
提案中,B,隣接業界,でんきまん,Denkiman130,https://x.com/Denkiman130,お金・制度ネタのリスト型。硬いテーマで伸ばす,41.3,8926,88,580000,14,0,財形貯蓄・NISA等の制度ネタを自分ごと化して問いかける型,金融テーマ自体はスナの領域外,X投稿ベンチマーク分析20アカウント,2026-05-14
提案中,B,ベンチマーク（バズ率）,KPOP202205,KPOP202205,https://x.com/KPOP202205,バズ率20.3%（158投稿中32件）。当たり型の反復,11.9,474,158,10000,32,12,バズ投稿の比率が全アカウント中で最高。「型を決めて反復する」効果の実証例,仮想通貨テーマは扱わない,X投稿ベンチマーク分析20アカウント,2026-05-14
提案中,B,ベンチマーク（バズ率）,でじたま,dijitama_ai,https://x.com/dijitama_ai,バズ率8.4%。フォロワー数の伸びを共有する親近感型,14.2,260,166,1061,14,0,規模が近い。「当たり型」を持っている可能性が高く分析価値あり,※Xポスト収集リストには dejitama_ai の表記あり。IDの正誤を要確認,X投稿ベンチマーク分析20アカウント,2026-05-14
提案中,B,ベンチマーク,もねきち,monekiti_money,https://x.com/monekiti_money,平均表示2.5万。キャリア×お金の切り口,30.6,25284,55,460000,9,0,少ない投稿数で高い表示数。テーマ選定の妙,,X投稿ベンチマーク分析20アカウント,2026-05-14
提案中,B,ベンチマーク,にげやま,nigeyama369,https://x.com/nigeyama369,少投稿・高表示。1本の質で殴る型,23.7,21087,6,120000,,,総投稿6本で平均表示2.1万。サンプルは少ないが投稿単価が異常に高い,サンプル数が少なく再現性は未検証,X投稿ベンチマーク分析20アカウント,2026-05-14
提案中,B,ベンチマーク,RGL りゅうじ,RGL_ryuji,https://x.com/RGL_ryuji,平均いいね217.3（全体1位）。固いファン層の作り方,217.3,3049,58,6008,,,平均いいねが全体トップ。表示数に対するいいね率が突出しており、ファン層の濃さが学べる,分析データが限定的。まず投稿内容の実地確認が必要,X投稿ベンチマーク分析20アカウント,2026-05-14
提案中,C,大型（導線のみ見る）,マーケターおさる,osaruproducer,https://x.com/osaruproducer,商品設計・価格設計・ローンチの型,,,,,,,規模が違いすぎるので投稿は真似ない。「無料→高額」の導線設計だけ見る,投稿頻度・トーン・広告投下量は再現不可,Xポスト収集リスト,要調査
提案中,C,大型（導線のみ見る）,やまもとりゅうけん,ryukke,https://x.com/ryukke,コミュニティ型の収益化,,,,,,,同上,同上,Xポスト収集リスト,要調査
提案中,C,大型（導線のみ見る）,イケハヤ,IHayato,https://x.com/IHayato,長期の発信資産の作り方,,,,,,,同上,同上,Xポスト収集リスト,要調査
提案中,C,大型（導線のみ見る）,しゅうへい,shupeiman,https://x.com/shupeiman,失敗も含めて開示する信頼構築,,,,,,,「8000万かけて赤字」等、失敗を数字で開示して共感を取る型は学べる,同上,Xポスト収集リスト,要調査
提案中,A,𝕏運用ノウハウ,しゅん｜X伸ばす戦略家,shuntoto_0815,https://x.com/shuntoto_0815,X運用そのもののノウハウ源,,,,,,,運用の型を供給してくれる。交流先としても機能する,,Xポスト収集リスト,要調査
